Address,Group,NFT Balance,ETH Balance,Last Update
0x8C016F4EFC752366AF333576DB602DA6AE9CD94B,RGN,7,0.09503586199999993,2022-02-01 13:34:04
0x90D9908400C0808B32AFAC30C64AF008D537B8F0,RGN,7,0.09243491899999993,2022-02-01 13:34:09
0x0425DAB8ED5BF00C6545F13C4DC8442AB9630DC8,IOG,6,0.07251021599999993,2022-02-01 13:33:57
0x337521E449B7941C8003ED8D538076586C539AC8,RGN,6,0.07702418399999994,2022-02-01 13:34:10
0xD93EEDEAAB04A1515DEB446415ECBD74FC9B8855,RGN,5,0.06495715,2022-02-01 13:34:05
0xE41EB30795B6C00A1256F24DDF7E4ED1FE5E9F0C,RGN,4,0.31045231855765165,2022-02-01 13:34:06
0xB246FD6DA307DCD03565BF5CA4C733EF2310BEC6,RGN,7,0.10457265299999993,2022-02-01 13:34:02
0xF400BEECD6DFC57EBB911FF6609B4615DF2B5F9C,RGN,8,0.109689672,2022-02-01 13:34:03
0x8CF57606876BCEB4AC1D0A0DC5DE4DFFAB8AB9CB,KKB,6,0.08078582399999994,2022-02-01 13:33:50
0xB29F23BE091AC72B9C8A8A1B4BC3074F833C025D,IOG,7,0.09590284299999993,2022-02-01 13:33:54
0xCD8C32FCF0E5D9E95937648573A91C9A1F95828F,IOG,4,0.052404998,2022-02-01 13:33:58
0xEA44A519FE0D6342AD5F8D20B4A77D809B258B30,IOG,8,0.100854966,2022-02-01 13:33:59
0x8EAAA7D5237622138505D01A21D9E592874076C1,KKB,8,0.09692843,2022-02-01 13:33:51
0x55706EEACD403D7AD7A528908E05568AE4AB5BF2,IOG,5,0.078986,2022-02-01 13:33:55
0x91EC0F7AFE7E5C53CABF68B6849CD823393A813F,IOG,7,0.11064151999999994,2022-02-01 13:33:56
0x416E6BAFE955EF132BEF0FCB8E4AF98FFA104D23,KKB,8,0.100854966,2022-02-01 13:33:52
0xADA54B9575DCD06CAE275B599ED01F4ECB5521A4,EBIT,6,0.07627185599999993,2022-02-01 13:34:28
0x32FAEF1DF2EEE7122A434D563399E328CCE56ECB,PT,0,0.360696,2022-02-01 13:23:55
0x863CC4188187980DDCB49452FFDE3E9AB8112C7D,RSBBI,8,0.104781502,2022-02-01 13:33:23
0x173AFF8B153D9050A7323C848E15B3BCD7D5C647,RSBBI,7,0.10457265299999993,2022-02-01 13:33:26
0x7457F6DD63672FF74F5C8748E0CCDC36D6363A4D,RSBBI,4,0.053451042,2022-02-01 13:33:25
0x67E507EF24E7E1C2291BB71E0DE983FDE666B152,RSBBI,5,0.078986,2022-02-01 13:33:27
0xA1BE565DA70411409E21ABAA11E7C685B96E8AB1,RSBBI,7,0.11064151999999994,2022-02-01 13:33:28
0x188D811B788F9F5168A780BEDFDCE84F1A13D7A1,PT,4,0.051881976,2022-02-01 13:33:30
0xFBDBE526323235EEF013045F3656D2DDB818FC53,KKB,0,0.38,2022-02-01 13:25:28
0xFD6E8D05186121D584363556505130D7222D92C4,PT,4,0.046651756,2022-02-01 13:33:34
0x1142E065A6615802C82A81D0B8449E7608870107,PT,7,0.11064151999999994,2022-02-01 13:33:32
0x2BA70E01EFBBD2AD0AAB7D2C7DE7BF56C354E86E,PT,4,0.049789888,2022-02-01 13:33:33
0xA3257D81E79AD3AD415E8798DE5BB0E73A461B04,PT,7,0.09937076699999993,2022-02-01 13:33:35
0xA80DBBB6D5167F503456D7EC3856487FEBCC3556,PT,5,0.07515995,2022-02-01 13:33:36
0x57C897EF470392C04390A18780FACB8CC49B385B,BBG,4,0.049789888,2022-02-01 13:33:37
0x20A2A2EDFEE34587501E3B5C8C6BAE0AE5656194,KKB,7,0.10564151999999993,2022-02-01 13:34:53
0x245A0BAC541B2AB3FE4B3754CCE9C926CB2C26AD,BBG,6,0.07551952799999993,2022-02-01 13:33:39
0xBBD3E7DF99D4F76F70A152AD84E8BE221599428F,BBG,4,0.05292802,2022-02-01 13:33:40
0x8FBEE8AB0356ED000CB674CB2DD850733BFD44C3,PT,5,0.0738846,2022-02-01 13:35:37
0xD3DB49AE300CC4138238EBEDC1F2D11C9595F51B,BBG,4,0.053451042,2022-02-01 13:35:35
0xCC21812F68F5D63861A79E72A599B1F59669DB2C,EBIT,8,0.114597842,2022-02-01 13:35:34
0xA5FB7E64D3F958510F20A2D38CF953E8F4BEFFD1,EBIT,4,0.057112196,2022-02-01 13:35:33
0x852435EEC0C2BB6B5AC41F7E7B1ACFBA71A5AF0F,EBIT,8,0.119506012,2022-02-01 13:35:31
0x43880E2D58E10D9E25E36555946FA146C4D6988B,EBIT,6,0.08755677599999993,2022-02-01 13:35:30
0x6DBDC1F8AD759D0E0C4EC99FA4E06B921265039D,EBIT,7,0.10023774799999993,2022-02-01 13:35:32
0x9893F521F7602AD900B05C59DF6C6CB285FED6C9,PT,6,0.07702418399999994,2022-02-01 13:35:28
0xFEEDA2077739C9C219E0E686A633DAB949575528,PT,8,0.104781502,2022-02-01 13:35:27
0x4130930B7B6ADA21D06293A136B25700E77FBCF3,PT,5,0.07260925,2022-02-01 13:35:26
0x1FC57D273CCE0B5C5699215FB79789510CB3B2C4,PT,4,0.04508269,2022-02-01 13:35:25
0xE2F66F22E556319C9300DF7560118A616E19A25C,PT,4,0.05815824,2022-02-01 13:35:23
0xCCD88EECA1AA20EBF8D7D9530982250380A714A8,PT,5,0.063044125,2022-02-01 13:35:22
